Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter
(2017 SN21),2017-Oct-10 15:57Ê±Ê< 00:01,8.96 | 0.02302,8.91 | 0.02290,7.59,7.57,26,17 m -   38 m
(2017 TH4),2017-Oct-10 21:49Ê±Ê< 00:01,6.65 | 0.01708,6.63 | 0.01704,13.94,13.93,24.5,33 m -   75 m
(2017 TY5),2017-Oct-10 22:23Ê±Ê< 00:01,3.78 | 0.00972,3.77 | 0.00968,7.50,7.47,26.3,15 m -   33 m
(2017 UK1),2017-Oct-11 00:56Ê±Ê< 00:01,6.54 | 0.01681,6.54 | 0.01681,7.15,7.13,27.1,10 m -   23 m
(2017 SB20),2017-Oct-11 01:29Ê±Ê< 00:01,8.93 | 0.02295,8.90 | 0.02286,7.13,7.11,25,27 m -   59 m
(2017 UF8),2017-Oct-11 04:00Ê±ÊÊÊÊ00:29,18.35 | 0.04716,17.91 | 0.04603,11.23,11.23,24.8,29 m -   65 m
(2017 TJ6),2017-Oct-11 08:00Ê±Ê< 00:01,7.08 | 0.01818,7.01 | 0.01800,6.34,6.31,27.6,8.0 m -   18 m
(2017 UF1),2017-Oct-11 16:12Ê±Ê< 00:01,12.05 | 0.03097,11.95 | 0.03071,12.26,12.25,26.6,13 m -   28 m
(2017 TJ2),2017-Oct-11 22:16Ê±Ê< 00:01,11.13 | 0.02860,11.11 | 0.02854,11.65,11.64,24.8,29 m -   65 m
(2017 RV1),2017-Oct-12 02:44Ê±Ê< 00:01,17.74 | 0.04559,17.74 | 0.04559,10.90,10.90,20.1,250 m -  570 m
(2017 UY),2017-Oct-12 04:09Ê±Ê< 00:01,11.22 | 0.02883,11.07 | 0.02845,14.96,14.95,26.3,15 m -   33 m
(2012 TC4),2017-Oct-12 05:42Ê±Ê< 00:01,0.13 | 0.00034,0.13 | 0.00034,7.65,6.52,26.7,12 m -   27 m
(2017 UP1),2017-Oct-12 09:24Ê±ÊÊÊÊ00:01,6.19 | 0.01590,6.15 | 0.01581,11.16,11.15,26.8,12 m -   26 m
(2017 TZ5),2017-Oct-12 19:56Ê±Ê< 00:01,6.98 | 0.01793,6.95 | 0.01786,9.76,9.75,26.8,12 m -   26 m
(2017 TT1),2017-Oct-13 03:13Ê±Ê< 00:01,2.52 | 0.00647,2.51 | 0.00645,10.70,10.66,27.2,9.7 m -   22 m
(2017 TK2),2017-Oct-13 06:09Ê±Ê< 00:01,4.93 | 0.01267,4.92 | 0.01263,11.59,11.58,25.8,18 m -   41 m
(2013 UM9),2017-Oct-13 09:38Ê±Ê< 00:01,9.13 | 0.02346,9.13 | 0.02346,7.06,7.04,24.6,32 m -   71 m
(2017 TU5),2017-Oct-13 10:30Ê±Ê< 00:01,6.84 | 0.01758,6.81 | 0.01751,7.73,7.71,27.5,8.4 m -   19 m
(2017 UE),2017-Oct-13 10:36Ê±Ê< 00:01,4.41 | 0.01133,4.40 | 0.01130,8.39,8.36,26.9,11 m -   25 m
(2017 TU1),2017-Oct-13 12:21Ê±Ê< 00:01,5.21 | 0.01340,5.20 | 0.01336,10.37,10.35,26.1,16 m -   36 m
(2017 UR1),2017-Oct-13 15:42Ê±Ê< 00:01,17.67 | 0.04540,17.55 | 0.04509,10.68,10.67,25.4,22 m -   49 m
(2017 UQ1),2017-Oct-13 18:14Ê±Ê< 00:01,5.81 | 0.01493,5.77 | 0.01482,22.94,22.93,25.9,18 m -   39 m
(2005 TE49),2017-Oct-13 18:26Ê±ÊÊÊÊ10:07,8.48 | 0.02178,3.27 | 0.00839,11.18,11.17,26.7,12 m -   27 m
(2017 TJ4),2017-Oct-13 19:24Ê±Ê< 00:01,10.15 | 0.02609,10.13 | 0.02604,7.21,7.20,25.2,24 m -   54 m
(2017 TV1),2017-Oct-14 06:40Ê±Ê< 00:01,5.59 | 0.01436,5.57 | 0.01431,10.35,10.34,26.3,15 m -   33 m
(2017 UU),2017-Oct-14 07:11Ê±Ê< 00:01,8.80 | 0.02262,8.76 | 0.02252,10.12,10.11,26.4,14 m -   31 m
(2017 UT1),2017-Oct-14 08:09Ê±Ê< 00:01,2.71 | 0.00696,2.70 | 0.00694,7.92,7.87,27.5,8.4 m -   19 m
(2017 UD),2017-Oct-14 10:46Ê±Ê< 00:01,3.91 | 0.01004,3.90 | 0.01001,15.66,15.65,25.6,20 m -   45 m
(2017 UN2),2017-Oct-14 17:05Ê±Ê< 00:01,2.38 | 0.00610,2.37 | 0.00608,6.89,6.83,28.2,6.1 m -   14 m
(2017 TS6),2017-Oct-14 18:19Ê±ÊÊÊÊ00:01,11.48 | 0.02950,11.39 | 0.02926,6.57,6.56,28.2,6.1 m -   14 m
(2017 UF),2017-Oct-15 03:23Ê±Ê< 00:01,0.99 | 0.00255,0.99 | 0.00254,23.07,23.03,27.9,7.0 m -   16 m
(2017 UK52),2017-Oct-15 06:18Ê±Ê1_00:31,6.54 | 0.01681,0.26 | 0.00067,13.48,13.47,27.2,9.9 m -   22 m
(2017 UC),2017-Oct-15 09:38Ê±Ê< 00:01,13.23 | 0.03399,13.17 | 0.03385,5.37,5.36,26.4,14 m -   31 m
(2017 UR),2017-Oct-15 11:36Ê±Ê< 00:01,4.76 | 0.01224,4.76 | 0.01223,11.23,11.21,25.1,25 m -   57 m
(2017 UD5),2017-Oct-15 16:52Ê±Ê< 00:01,13.47 | 0.03460,13.38 | 0.03439,7.07,7.06,25.9,18 m -   39 m
(2017 TK4),2017-Oct-15 22:48Ê±Ê< 00:01,4.18 | 0.01073,4.17 | 0.01072,4.19,4.13,27.9,7.0 m -   16 m
(2017 UG1),2017-Oct-16 12:04Ê±ÊÊÊÊ00:03,11.23 | 0.02886,11.13 | 0.02860,5.83,5.82,27.8,7.3 m -   16 m
(2017 TH5),2017-Oct-16 17:16Ê±Ê< 00:01,0.26 | 0.00067,0.26 | 0.00067,12.06,11.72,28.4,5.6 m -   12 m
(2017 UU1),2017-Oct-16 23:59Ê±Ê< 00:01,1.97 | 0.00506,1.97 | 0.00505,5.69,5.59,26.9,11 m -   25 m
(2017 TU3),2017-Oct-17 05:32Ê±Ê< 00:01,8.12 | 0.02087,8.07 | 0.02073,11.95,11.94,24.8,29 m -   65 m
(2017 TE5),2017-Oct-17 11:09Ê±Ê< 00:01,1.34 | 0.00343,1.34 | 0.00343,10.92,10.85,26,17 m -   38 m
(2017 UA),2017-Oct-17 15:16Ê±Ê< 00:01,1.19 | 0.00307,1.19 | 0.00306,7.98,7.87,28.5,5.3 m -   12 m
(2017 UR2),2017-Oct-17 16:32Ê±Ê< 00:01,0.83 | 0.00213,0.83 | 0.00213,10.84,10.73,27.7,7.7 m -   17 m
(2017 TW5),2017-Oct-17 19:37Ê±Ê< 00:01,3.08 | 0.00791,3.07 | 0.00788,15.51,15.49,27.2,9.7 m -   22 m
(2017 UJ3),2017-Oct-18 06:12Ê±Ê< 00:01,11.38 | 0.02925,11.28 | 0.02898,17.83,17.82,23.8,46 m -  100 m
(2017 TX5),2017-Oct-18 16:25Ê±Ê< 00:01,4.56 | 0.01172,4.55 | 0.01169,10.23,10.21,25.9,18 m -   39 m
(2017 TD5),2017-Oct-18 19:26Ê±Ê< 00:01,11.12 | 0.02858,11.02 | 0.02833,18.70,18.70,25.7,19 m -   43 m
(2017 UT5),2017-Oct-18 20:16Ê±Ê< 00:01,17.40 | 0.04471,17.31 | 0.04449,4.18,4.16,27.1,10 m -   23 m
(2006 TU7),2017-Oct-18 21:22Ê±Ê< 00:01,18.60 | 0.04780,18.60 | 0.04780,13.26,13.26,21.9,110 m -  250 m
(2017 UL5),2017-Oct-19 05:38Ê±Ê< 00:01,2.82 | 0.00726,2.80 | 0.00719,7.98,7.94,26.4,14 m -   31 m
(2017 UJ),2017-Oct-19 06:28Ê±Ê< 00:01,2.76 | 0.00709,2.75 | 0.00708,12.02,11.98,25.6,20 m -   45 m
(2017 UH5),2017-Oct-19 08:53Ê±Ê< 00:01,9.68 | 0.02487,9.64 | 0.02476,5.86,5.84,26.5,13 m -   30 m
(2017 UO5),2017-Oct-19 16:03Ê±Ê< 00:01,4.91 | 0.01262,4.90 | 0.01258,13.63,13.62,27.1,10 m -   23 m
(2017 TD6),2017-Oct-19 18:53Ê±Ê< 00:01,0.50 | 0.00128,0.50 | 0.00128,9.21,8.98,27.2,9.7 m -   22 m
(2017 TA6),2017-Oct-19 22:44Ê±Ê< 00:01,6.65 | 0.01708,6.65 | 0.01708,4.44,4.41,27.1,10 m -   23 m
(2017 UL52),2017-Oct-20 07:38Ê±ÊÊÊÊ08:27,4.01 | 0.01031,>  0.02 | 4.28e-5,6.12,6.08,28,6.7 m -   15 m
